locus_tag	ftype	length_bp	gene	EC_number	COG	product
BPPMDLJL_00106	CDS	822				hypothetical protein
BPPMDLJL_00107	CDS	537				hypothetical protein
BPPMDLJL_00108	CDS	1890		3.2.1.28	COG3387	Trehalase
BPPMDLJL_00109	CDS	2535				hypothetical protein
BPPMDLJL_00110	CDS	1506	ppsA	2.3.1.41		Phthiocerol/phenolphthiocerol synthesis polyketide synthase type I PpsA
BPPMDLJL_00111	CDS	3735	bioF_1	2.3.1.47		8-amino-7-oxononanoate synthase
BPPMDLJL_00112	CDS	372				hypothetical protein
BPPMDLJL_00113	CDS	501				IS256 family transposase IS1245
BPPMDLJL_00114	CDS	540				hypothetical protein
BPPMDLJL_00115	CDS	360				hypothetical protein
BPPMDLJL_00116	CDS	120				hypothetical protein
BPPMDLJL_00117	CDS	228				hypothetical protein
BPPMDLJL_00118	CDS	201				hypothetical protein
BPPMDLJL_00119	CDS	564				hypothetical protein
BPPMDLJL_00120	CDS	315				hypothetical protein
BPPMDLJL_00121	CDS	420		3.2.1.28	COG3387	Trehalase
BPPMDLJL_00122	CDS	1722				hypothetical protein
BPPMDLJL_00123	CDS	918				hypothetical protein
BPPMDLJL_00124	CDS	267				hypothetical protein
BPPMDLJL_00125	tRNA	88				tRNA-Gln(ctg)
BPPMDLJL_00126	CDS	2535				hypothetical protein
BPPMDLJL_00127	CDS	522				hypothetical protein
BPPMDLJL_00128	CDS	720				IS6 family transposase ISRH1
BPPMDLJL_00129	CDS	657				hypothetical protein
BPPMDLJL_00130	CDS	786				hypothetical protein
BPPMDLJL_00131	CDS	360			COG3039	IS5 family transposase IS1647
BPPMDLJL_00132	CDS	420			COG3039	IS5 family transposase IS1647
BPPMDLJL_00133	CDS	1185				IS701 family transposase ISSav3
BPPMDLJL_00134	CDS	456				hypothetical protein
BPPMDLJL_00135	CDS	1194				IS110 family transposase IS900
BPPMDLJL_00136	CDS	1125	pcm_1	2.1.1.77		Protein-L-isoaspartate O-methyltransferase
BPPMDLJL_00137	CDS	1089				hypothetical protein
BPPMDLJL_00138	CDS	669			COG0586	putative membrane protein
BPPMDLJL_00139	CDS	606				hypothetical protein
BPPMDLJL_00140	CDS	729				hypothetical protein
BPPMDLJL_00141	CDS	663	mprA_1			Response regulator MprA
BPPMDLJL_00142	CDS	1362	rcsC_1	2.7.13.3		Sensor histidine kinase RcsC
BPPMDLJL_00143	CDS	801				hypothetical protein
BPPMDLJL_00144	CDS	885				hypothetical protein
BPPMDLJL_00145	CDS	282				hypothetical protein
BPPMDLJL_00146	CDS	759				hypothetical protein
BPPMDLJL_00147	CDS	1383				hypothetical protein
BPPMDLJL_00148	CDS	669				hypothetical protein
BPPMDLJL_00149	CDS	732			COG1136	putative ABC transporter ATP-binding protein
BPPMDLJL_00150	CDS	714			COG1136	putative ABC transporter ATP-binding protein
BPPMDLJL_00151	CDS	2649				hypothetical protein
BPPMDLJL_00152	CDS	747	walR_1		COG0745	Transcriptional regulatory protein WalR
BPPMDLJL_00153	CDS	975	azoB_1	1.7.-.-		NAD(P)H azoreductase
BPPMDLJL_00154	CDS	1035	ephA_1	3.3.2.10		Epoxide hydrolase A
BPPMDLJL_00155	CDS	702				hypothetical protein
BPPMDLJL_00156	CDS	570				hypothetical protein
BPPMDLJL_00157	CDS	1299				hypothetical protein
BPPMDLJL_00158	CDS	2184	mmpL3_1		COG2409	Trehalose monomycolate exporter MmpL3
BPPMDLJL_00159	CDS	654				hypothetical protein
BPPMDLJL_00160	CDS	354				hypothetical protein
BPPMDLJL_00161	CDS	1167				hypothetical protein
BPPMDLJL_00162	CDS	519				hypothetical protein
BPPMDLJL_00163	CDS	813	sadH	1.-.-.-		Putative oxidoreductase SadH
BPPMDLJL_00164	CDS	642				hypothetical protein
BPPMDLJL_00165	CDS	912	hcaB_1	1.3.1.87		3-phenylpropionate-dihydrodiol/cinnamic acid-dihydrodiol dehydrogenase
BPPMDLJL_00166	CDS	1137				hypothetical protein
BPPMDLJL_00167	CDS	924	ephD_1	1.-.-.-	COG1028	putative oxidoreductase EphD
BPPMDLJL_00168	CDS	912				hypothetical protein
BPPMDLJL_00169	CDS	1101	ophA1	1.-.-.-		Phthalate dioxygenase reductase
BPPMDLJL_00170	CDS	2415				hypothetical protein
BPPMDLJL_00171	CDS	339				hypothetical protein
BPPMDLJL_00172	CDS	1143	xerC_3			Tyrosine recombinase XerC
BPPMDLJL_00173	CDS	588				hypothetical protein
BPPMDLJL_00174	CDS	519				hypothetical protein
BPPMDLJL_00175	CDS	1008				hypothetical protein
BPPMDLJL_00176	CDS	480				hypothetical protein
BPPMDLJL_00177	CDS	939				hypothetical protein
BPPMDLJL_00178	CDS	357				hypothetical protein
BPPMDLJL_00179	CDS	717				hypothetical protein
BPPMDLJL_00180	CDS	915				hypothetical protein
BPPMDLJL_00181	CDS	1428				hypothetical protein
BPPMDLJL_00182	CDS	1422				hypothetical protein
BPPMDLJL_00183	CDS	933				hypothetical protein
BPPMDLJL_00184	CDS	342				hypothetical protein
BPPMDLJL_00185	CDS	561				hypothetical protein
BPPMDLJL_00186	CDS	2682				hypothetical protein
BPPMDLJL_00187	CDS	351				hypothetical protein
BPPMDLJL_00188	CDS	2733				hypothetical protein
BPPMDLJL_00189	CDS	1152				hypothetical protein
BPPMDLJL_00190	CDS	648				hypothetical protein
BPPMDLJL_00191	CDS	2625				hypothetical protein
BPPMDLJL_00192	CDS	915				hypothetical protein
BPPMDLJL_00193	CDS	321				hypothetical protein
BPPMDLJL_00194	CDS	261				hypothetical protein
BPPMDLJL_00195	CDS	861				hypothetical protein
BPPMDLJL_00196	CDS	618				hypothetical protein
BPPMDLJL_00197	CDS	828				hypothetical protein
BPPMDLJL_00198	CDS	1494				hypothetical protein
BPPMDLJL_00199	CDS	930				hypothetical protein
BPPMDLJL_00200	CDS	885				hypothetical protein
BPPMDLJL_00201	CDS	216				hypothetical protein
BPPMDLJL_00202	CDS	426				hypothetical protein
BPPMDLJL_00203	CDS	462				hypothetical protein
BPPMDLJL_00204	CDS	453				hypothetical protein
BPPMDLJL_00205	CDS	3468				hypothetical protein
BPPMDLJL_00206	CDS	1830				hypothetical protein
BPPMDLJL_00207	CDS	555				hypothetical protein
BPPMDLJL_00208	CDS	996				hypothetical protein
BPPMDLJL_00209	CDS	1821	pcm_2	2.1.1.77		Protein-L-isoaspartate O-methyltransferase
BPPMDLJL_00210	CDS	990				hypothetical protein
BPPMDLJL_00211	CDS	1509				hypothetical protein
BPPMDLJL_00212	CDS	918				hypothetical protein
BPPMDLJL_00213	CDS	531	ipuC_1	6.3.2.-		Glutamate--isopropylamine ligase
BPPMDLJL_00214	CDS	150				hypothetical protein
BPPMDLJL_00215	CDS	6591				hypothetical protein
BPPMDLJL_00216	CDS	246				hypothetical protein
BPPMDLJL_00217	CDS	762				hypothetical protein
BPPMDLJL_00218	CDS	426				hypothetical protein
BPPMDLJL_00219	CDS	1977				hypothetical protein
BPPMDLJL_00220	CDS	225				hypothetical protein
BPPMDLJL_00221	CDS	309				hypothetical protein
BPPMDLJL_00222	CDS	504				IS21 family transposase ISLxx3
BPPMDLJL_00223	CDS	1191				IS110 family transposase IS900
BPPMDLJL_00224	CDS	960				hypothetical protein
BPPMDLJL_00225	CDS	540				hypothetical protein
BPPMDLJL_00226	CDS	672				hypothetical protein
BPPMDLJL_00227	CDS	603				hypothetical protein
BPPMDLJL_00228	CDS	120				hypothetical protein
BPPMDLJL_00229	CDS	3684				hypothetical protein
BPPMDLJL_00230	CDS	282				hypothetical protein
BPPMDLJL_00231	CDS	879				hypothetical protein
BPPMDLJL_00232	CDS	261				hypothetical protein
BPPMDLJL_00233	CDS	408				hypothetical protein
BPPMDLJL_00234	CDS	897				hypothetical protein
BPPMDLJL_00235	CDS	789				hypothetical protein
BPPMDLJL_00236	CDS	1032				hypothetical protein
BPPMDLJL_00237	CDS	288				hypothetical protein
BPPMDLJL_00238	CDS	852				hypothetical protein
BPPMDLJL_00239	CDS	840				hypothetical protein
BPPMDLJL_00240	CDS	843				hypothetical protein
BPPMDLJL_00241	CDS	642				hypothetical protein
BPPMDLJL_00242	CDS	306				hypothetical protein
BPPMDLJL_00243	CDS	1311				IS256 family transposase ISRjo4
BPPMDLJL_00244	CDS	1767				hypothetical protein
BPPMDLJL_00245	CDS	1251				IS701 family transposase ISSav4
BPPMDLJL_00246	CDS	1146				hypothetical protein
BPPMDLJL_00247	CDS	237				hypothetical protein
BPPMDLJL_00248	CDS	1686				hypothetical protein
BPPMDLJL_00249	CDS	315				hypothetical protein
BPPMDLJL_00250	CDS	774				hypothetical protein
BPPMDLJL_00251	CDS	321				hypothetical protein
BPPMDLJL_00252	CDS	285				hypothetical protein
BPPMDLJL_00253	CDS	480				hypothetical protein
BPPMDLJL_00254	CDS	363	rsbV_1		COG1366	Anti-sigma-B factor antagonist
BPPMDLJL_00255	CDS	1299				hypothetical protein
BPPMDLJL_00256	CDS	408			COG1366	putative protein
BPPMDLJL_00257	CDS	588				hypothetical protein
BPPMDLJL_00258	CDS	381				hypothetical protein
BPPMDLJL_00259	CDS	258				hypothetical protein
BPPMDLJL_00260	CDS	312				hypothetical protein
BPPMDLJL_00261	CDS	315				hypothetical protein
BPPMDLJL_00262	CDS	675	rhtB_1		COG1280	Homoserine/homoserine lactone efflux protein
BPPMDLJL_00263	CDS	195				hypothetical protein
BPPMDLJL_00264	CDS	420				hypothetical protein
BPPMDLJL_00265	CDS	2217				hypothetical protein
BPPMDLJL_00266	CDS	315				hypothetical protein
BPPMDLJL_00267	CDS	396				hypothetical protein
BPPMDLJL_00268	CDS	3435	ycf3			Photosystem I assembly protein Ycf3
BPPMDLJL_00269	CDS	756	mmpL3_2		COG2409	Trehalose monomycolate exporter MmpL3
BPPMDLJL_00270	CDS	597	apxIB		COG2274	Toxin RTX-I translocation ATP-binding protein
BPPMDLJL_00271	CDS	333				hypothetical protein
BPPMDLJL_00272	CDS	1302				hypothetical protein
BPPMDLJL_00273	CDS	1326				hypothetical protein
BPPMDLJL_00274	CDS	1209				ISAs1 family transposase ISBli27
BPPMDLJL_00275	CDS	597				hypothetical protein
BPPMDLJL_00276	CDS	420				hypothetical protein
BPPMDLJL_00277	CDS	261				hypothetical protein
BPPMDLJL_00278	CDS	1713				hypothetical protein
BPPMDLJL_00279	CDS	120				hypothetical protein
BPPMDLJL_00280	CDS	381				hypothetical protein
BPPMDLJL_00281	CDS	231				hypothetical protein
BPPMDLJL_00282	CDS	459				hypothetical protein
BPPMDLJL_00283	CDS	186				hypothetical protein
BPPMDLJL_00284	CDS	1635				hypothetical protein
BPPMDLJL_00285	CDS	2211				hypothetical protein
BPPMDLJL_00286	CDS	561				hypothetical protein
BPPMDLJL_00287	CDS	648				hypothetical protein
BPPMDLJL_00288	CDS	111				hypothetical protein
BPPMDLJL_00289	CDS	351				hypothetical protein
BPPMDLJL_00290	CDS	603				hypothetical protein
BPPMDLJL_00291	CDS	2289				hypothetical protein
BPPMDLJL_00292	CDS	486				hypothetical protein
BPPMDLJL_00293	CDS	507			COG3039	IS5 family transposase IS1647
BPPMDLJL_00294	CDS	333				hypothetical protein
BPPMDLJL_00295	CDS	198				hypothetical protein
BPPMDLJL_00296	CDS	744				hypothetical protein
BPPMDLJL_00297	CDS	885				hypothetical protein
BPPMDLJL_00298	CDS	120				hypothetical protein
BPPMDLJL_00299	CDS	345				hypothetical protein
BPPMDLJL_00300	CDS	222				hypothetical protein
BPPMDLJL_00301	CDS	267				hypothetical protein
BPPMDLJL_00302	CDS	741				hypothetical protein
BPPMDLJL_00303	CDS	507				hypothetical protein
BPPMDLJL_00304	CDS	255				hypothetical protein
BPPMDLJL_00305	CDS	318				hypothetical protein
BPPMDLJL_00306	CDS	795				hypothetical protein
BPPMDLJL_00307	CDS	471				hypothetical protein
BPPMDLJL_00308	CDS	321				hypothetical protein
BPPMDLJL_00309	CDS	1032				hypothetical protein
BPPMDLJL_00310	CDS	315	xerC_4			Tyrosine recombinase XerC
BPPMDLJL_00311	CDS	120				hypothetical protein
BPPMDLJL_00312	CDS	141				hypothetical protein
BPPMDLJL_00313	CDS	6561				hypothetical protein
BPPMDLJL_00314	CDS	555				hypothetical protein
BPPMDLJL_00315	CDS	483				hypothetical protein
BPPMDLJL_00316	CDS	1260				IS701 family transposase ISSav4
BPPMDLJL_00317	CDS	429				hypothetical protein
BPPMDLJL_00318	CDS	1875				hypothetical protein
BPPMDLJL_00319	CDS	447				hypothetical protein
BPPMDLJL_00320	CDS	690	tetR_1			Tetracycline repressor protein class B from transposon Tn10
BPPMDLJL_00321	CDS	1350		1.14.13.239		Carnitine monooxygenase reductase subunit
BPPMDLJL_00322	CDS	345				hypothetical protein
BPPMDLJL_00323	CDS	270				hypothetical protein
BPPMDLJL_00324	CDS	1578	tetX_1	1.14.13.231	COG0654	Flavin-dependent monooxygenase
BPPMDLJL_00325	CDS	906	menH_1	4.2.99.20		2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase
BPPMDLJL_00326	CDS	834			COG0596	putative protein
BPPMDLJL_00327	CDS	243				hypothetical protein
BPPMDLJL_00328	CDS	1017	aes	3.1.1.-		Acetyl esterase
BPPMDLJL_00329	CDS	1239				IS256 family transposase IS1164
BPPMDLJL_00330	CDS	1314				hypothetical protein
BPPMDLJL_00331	CDS	483				hypothetical protein
BPPMDLJL_00332	CDS	1050				IS110 family transposase IS1547
BPPMDLJL_00333	CDS	1155				hypothetical protein
BPPMDLJL_00334	CDS	165				hypothetical protein
BPPMDLJL_00335	tRNA	72				tRNA-Val(cac)
BPPMDLJL_00336	CDS	216				hypothetical protein
BPPMDLJL_00337	CDS	1584				hypothetical protein
BPPMDLJL_00338	CDS	609				hypothetical protein
BPPMDLJL_00339	CDS	366				hypothetical protein
BPPMDLJL_00340	CDS	606				hypothetical protein
BPPMDLJL_00341	CDS	408				hypothetical protein
BPPMDLJL_00342	CDS	936	gltC_1			HTH-type transcriptional regulator GltC
BPPMDLJL_00343	CDS	1173				ISAzo13 family transposase ISScl2
BPPMDLJL_00344	CDS	375				ISAzo13 family transposase ISScl2
BPPMDLJL_00345	CDS	1002				hypothetical protein
BPPMDLJL_00346	CDS	474				hypothetical protein
BPPMDLJL_00347	CDS	1629			COG3385	IS4 family transposase ISSav1
BPPMDLJL_00348	CDS	258			COG2963	Insertion element IS6110 uncharacterized 12.0 kDa protein
BPPMDLJL_00349	CDS	918				IS3 family transposase ISMxa1
BPPMDLJL_00350	CDS	498				hypothetical protein
BPPMDLJL_00351	CDS	909				hypothetical protein
BPPMDLJL_00352	CDS	939				hypothetical protein
BPPMDLJL_00353	CDS	1260				IS701 family transposase ISSav4
BPPMDLJL_00354	CDS	582				hypothetical protein
BPPMDLJL_00355	CDS	1323				hypothetical protein
BPPMDLJL_00356	CDS	801				hypothetical protein
BPPMDLJL_00357	CDS	333				hypothetical protein
BPPMDLJL_00358	CDS	240				hypothetical protein
BPPMDLJL_00359	CDS	762				hypothetical protein
BPPMDLJL_00360	CDS	759				hypothetical protein
BPPMDLJL_00361	CDS	306				hypothetical protein
BPPMDLJL_00362	CDS	273				hypothetical protein
BPPMDLJL_00363	CDS	690				hypothetical protein
BPPMDLJL_00364	CDS	168				hypothetical protein
BPPMDLJL_00365	CDS	387				hypothetical protein
BPPMDLJL_00366	CDS	309				hypothetical protein
BPPMDLJL_00367	CDS	297				hypothetical protein
BPPMDLJL_00368	CDS	381				hypothetical protein
BPPMDLJL_00369	CDS	621				hypothetical protein
BPPMDLJL_00370	CDS	1599				hypothetical protein
BPPMDLJL_00371	CDS	702				hypothetical protein
BPPMDLJL_00372	CDS	921				hypothetical protein
BPPMDLJL_00373	CDS	117				hypothetical protein
BPPMDLJL_00374	CDS	1134				hypothetical protein
BPPMDLJL_00375	CDS	924	ldh	1.1.1.27		L-lactate dehydrogenase
BPPMDLJL_00376	CDS	1230				hypothetical protein
BPPMDLJL_00377	CDS	246				hypothetical protein
BPPMDLJL_00378	CDS	237				hypothetical protein
BPPMDLJL_00379	CDS	408				hypothetical protein
BPPMDLJL_00380	CDS	1296				hypothetical protein
BPPMDLJL_00381	CDS	1290				hypothetical protein
BPPMDLJL_00382	CDS	825				hypothetical protein
BPPMDLJL_00383	CDS	168				hypothetical protein
BPPMDLJL_00384	CDS	384				hypothetical protein
BPPMDLJL_00385	CDS	1137				hypothetical protein
BPPMDLJL_00386	CDS	243				hypothetical protein
BPPMDLJL_00387	CDS	1239				IS256 family transposase IS1164
BPPMDLJL_00388	CDS	2277	katE	1.11.1.6	COG0753	Catalase HPII
BPPMDLJL_00389	CDS	468				hypothetical protein
BPPMDLJL_00390	CDS	2124				hypothetical protein
BPPMDLJL_00391	CDS	792				hypothetical protein
BPPMDLJL_00392	CDS	765				hypothetical protein
BPPMDLJL_00393	CDS	315				hypothetical protein
BPPMDLJL_00394	CDS	1398				hypothetical protein
BPPMDLJL_00395	CDS	2190				hypothetical protein
BPPMDLJL_00396	CDS	1590	mshA_1	2.4.1.250		D-inositol-3-phosphate glycosyltransferase
BPPMDLJL_00397	CDS	1350				hypothetical protein
BPPMDLJL_00398	CDS	1008		5.1.3.2	COG1088	UDP-glucose 4-epimerase
BPPMDLJL_00399	CDS	714	hddC	2.7.7.71		D-glycero-alpha-D-manno-heptose 1-phosphate guanylyltransferase
BPPMDLJL_00400	CDS	900	tal_1	1.1.1.344		dTDP-6-deoxy-L-talose 4-dehydrogenase (NAD(P)(+))
BPPMDLJL_00401	CDS	669				hypothetical protein
BPPMDLJL_00402	CDS	396	ptlI_1	1.14.15.32	COG2124	Pentalenene oxygenase
BPPMDLJL_00403	CDS	339				hypothetical protein
BPPMDLJL_00404	CDS	1335				hypothetical protein
BPPMDLJL_00405	CDS	1035				IS110 family transposase ISBli6
BPPMDLJL_00406	CDS	279				hypothetical protein
BPPMDLJL_00407	CDS	1629			COG3385	IS4 family transposase ISSav1
BPPMDLJL_00408	CDS	2241				hypothetical protein
BPPMDLJL_00409	CDS	2853	rapA_1	3.6.4.-		RNA polymerase-associated protein RapA
BPPMDLJL_00410	CDS	1245				hypothetical protein
BPPMDLJL_00411	CDS	489				hypothetical protein
BPPMDLJL_00412	CDS	540	xerC_5			Tyrosine recombinase XerC
BPPMDLJL_00413	CDS	597				hypothetical protein
BPPMDLJL_00414	CDS	819	suhB_1	3.1.3.11	COG0483	Fructose-1,6-bisphosphatase/inositol-1-monophosphatase
BPPMDLJL_00415	CDS	906	pcpR			PCP degradation transcriptional activation protein
BPPMDLJL_00416	CDS	258				hypothetical protein
BPPMDLJL_00417	CDS	384				hypothetical protein
BPPMDLJL_00418	CDS	393				hypothetical protein
BPPMDLJL_00419	CDS	1236				hypothetical protein
BPPMDLJL_00420	CDS	1488	lcfB_1	6.2.1.3	COG0318	Long-chain-fatty-acid--CoA ligase
BPPMDLJL_00421	CDS	852				hypothetical protein
BPPMDLJL_00422	CDS	570				hypothetical protein
BPPMDLJL_00423	CDS	204				hypothetical protein
BPPMDLJL_00424	CDS	3279				hypothetical protein
BPPMDLJL_00425	CDS	1515				hypothetical protein
BPPMDLJL_00426	CDS	531				hypothetical protein
BPPMDLJL_00427	CDS	714				hypothetical protein
BPPMDLJL_00428	CDS	897				hypothetical protein
BPPMDLJL_00429	CDS	1191				hypothetical protein
BPPMDLJL_00430	CDS	1500				hypothetical protein
BPPMDLJL_00431	CDS	723	ftsH_1	3.4.24.-		ATP-dependent zinc metalloprotease FtsH
BPPMDLJL_00432	CDS	327				hypothetical protein
BPPMDLJL_00433	CDS	681				hypothetical protein
BPPMDLJL_00434	CDS	318				hypothetical protein
BPPMDLJL_00435	CDS	1107				hypothetical protein
BPPMDLJL_00436	CDS	591				hypothetical protein
BPPMDLJL_00437	CDS	348				hypothetical protein
BPPMDLJL_00438	CDS	390				hypothetical protein
BPPMDLJL_00439	CDS	2820				hypothetical protein
BPPMDLJL_00440	CDS	2604				hypothetical protein
BPPMDLJL_00441	CDS	2100				hypothetical protein
BPPMDLJL_00442	CDS	1293				hypothetical protein
BPPMDLJL_00443	CDS	1794				hypothetical protein
BPPMDLJL_00444	CDS	222				hypothetical protein
BPPMDLJL_00445	CDS	717				hypothetical protein
BPPMDLJL_00446	CDS	2835				hypothetical protein
BPPMDLJL_00447	CDS	1467	pntB	7.1.1.1	COG1282	NAD(P) transhydrogenase subunit beta
BPPMDLJL_00448	CDS	1557	pntA	7.1.1.1	COG3288	NAD(P) transhydrogenase subunit alpha
BPPMDLJL_00449	CDS	465				hypothetical protein
BPPMDLJL_00450	CDS	438				hypothetical protein
BPPMDLJL_00451	CDS	486				hypothetical protein
BPPMDLJL_00452	CDS	768	pikAV_1	3.1.2.-		Thioesterase PikA5
BPPMDLJL_00453	CDS	1644	choA_1	1.1.3.6		Cholesterol oxidase
BPPMDLJL_00454	CDS	579				hypothetical protein
BPPMDLJL_00455	CDS	3594				hypothetical protein
BPPMDLJL_00456	CDS	195	suaB			Ferredoxin-1
BPPMDLJL_00457	CDS	1527				hypothetical protein
BPPMDLJL_00458	CDS	1200		1.14.15.11	COG2124	Pentalenic acid synthase
BPPMDLJL_00459	CDS	1257	ccr	1.3.1.85	COG0604	Crotonyl-CoA carboxylase/reductase
BPPMDLJL_00460	CDS	10059	eryA	2.3.1.94	COG3321	6-deoxyerythronolide-B synthase EryA1, modules 1 and 2
BPPMDLJL_00461	CDS	18483	fadA_1	2.3.1.16		3-ketoacyl-CoA thiolase
BPPMDLJL_00462	CDS	5511	pikAI_1	2.3.1.239		Narbonolide/10-deoxymethynolide synthase PikA1, modules 1 and 2
